ticid,gaia_id,group,logg,t_eff,fe_h,gaia_mag,CDPP0_5_mean,CDPP0_5_med,CDPP0_5_std,CDPP1_0_mean,CDPP1_0_med,CDPP1_0_std,CDPP2_0_mean,CDPP2_0_med,CDPP2_0_std
277301936,Gaia DR2 4657830739066079744,7,4.22465,6265.24,-0.209659,9.79848,217.73724087636364,219.53967285,8.821413369028754,158.31211575454546,158.29571533,7.406352952620041,118.0540403890909,116.80501556,6.359482551929189
364588606,Gaia DR2 4648172457100313984,7,4.21591,6263.13,-0.162419,10.0962,247.23926955000005,245.52259827,9.182546101709748,180.57391239923078,178.34268188,9.052176102333448,135.18293586153848,133.97860718,7.638283413851841
25132314,Gaia DR2 4666573535807661184,8,4.14477,6970.27,0.133681,8.28718,142.92392202384616,136.51727295,15.12184183082254,122.95803187384614,118.41653442,15.030932803534014,118.3269923276923,116.47154999,14.556191577610768
30631031,Gaia DR2 4655052273182210688,8,3.89253,7136.3,-0.023731,7.51091,183.31933593769233,182.48698425,2.7697998509403106,160.7786841769231,162.21636963,4.487753441899463,114.89027874307695,116.65827942,4.773813025186625
388131027,Gaia DR2 4655951570585830144,8,3.86676,6956.29,0.042135,8.28915,182.5591677153846,184.76300049,32.901251290106686,168.25750145461538,171.44517517,34.890566540348026,166.59118593692307,175.29983521,34.68091664749482
349156177,Gaia DR2 5282492294396035584,9,4.74609,8387.65,-9999.99,7.3216,74.67528651384616,75.12058258,2.143117908011685,55.165456039230776,54.35388947,1.9175404105389846,42.68363688615385,42.55127335,1.9583660575797042
349829477,Gaia DR2 5292390815325246976,9,4.83198,8509.43,-9999.99,8.31793,117.5949660076923,117.68689728,4.421482650730789,86.34591087923079,86.24214172,4.2955504271068214,65.3412261376923,65.89585114,4.450848292665317
349902873,Gaia DR2 5288622449677924736,9,4.65408,8449.64,-9999.99,8.72655,452.4892437284616,453.37832642,13.419173840824312,482.28974797230774,480.8465271,12.824709879110218,507.3950477007693,506.64373779,13.433004037068176
38906005,Gaia DR2 4677878100184546560,10,4.00487,5554.39,-0.245132,10.0535,229.5282020566667,229.031570435,9.533600416390158,168.69222259583333,167.583129885,9.26873847780761,126.95960934916668,126.82501983499999,9.102977090662277
391925969,Gaia DR2 5260960798706377472,10,3.97066,5560.24,0.274031,10.4355,277.5922114041667,280.63470459,10.209574146034775,202.07758585583335,203.14552307,7.782574339752842,149.80265426666665,148.72758484,6.241009269147724
404852431,Gaia DR2 4657681377300147968,10,4.03824,5634.64,0.148581,10.2285,281.3926890981818,281.20175171,8.497936101985058,207.24016779181818,207.95899963,7.821550013598443,157.56891146545456,156.89482117,6.155087740166296
149503727,Gaia DR2 4756344610076615808,11,3.77744,5067.8,0.203628,10.8884,343.11090642636367,345.44696045,11.636315818340998,252.38043490272727,254.48921204,11.016936772355669,189.07090343272728,190.38334656,10.391986710746114
220414682,Gaia DR2 4773935490436664960,11,3.83546,5128.43,-0.00724535,9.24711,157.4635667069231,156.61677551,6.452485782114196,117.81227346461537,116.37094879,7.589354796711311,88.59915572,88.63993073,7.7087667856946
300739852,Gaia DR2 5267732896980113024,11,3.78098,5071.2,-0.0267626,10.7991,319.59726507,317.26699829,12.881937433954487,233.42061545727273,233.22200012,9.980519361939672,175.3960460318182,173.25646973,8.557698586176143
141627237,Gaia DR2 4648317077238452864,12,2.73417,4724.68,-0.146232,9.70101,224.15673065250004,223.17862701500002,4.568071281867161,212.55868784583336,213.587509155,4.263004864946963,214.9922421758333,216.267097475,4.084401377939733
167203674,Gaia DR2 5278870400015997568,12,2.70337,4740.53,0.0290144,9.46542,197.38892892615382,196.61929321,6.2223506422367025,181.7639160146154,181.65557861,5.456077976761558,191.6433715823077,191.84803772,5.596249108968126
231091547,Gaia DR2 4656290014016231936,12,2.66241,4659.89,0.145318,9.6859,214.49629338416665,211.76813507,14.748054828576457,193.8801116941667,190.528297425,15.695782897397875,209.82579930583336,208.09225464,14.80778969692304
140802488,Gaia DR2 4649918034898650752,13,2.67873,4972.85,0.0634795,9.11547,175.34183443615387,162.89808655,43.31024163297228,160.23317073076925,150.40675354,38.91671180215954,171.5792823207692,163.1162262,35.24875222430053
141269997,Gaia DR2 4650377871273296896,13,2.73388,5022.92,0.124518,9.19659,172.08210754384615,170.86160278,2.566248150672649,156.48695373615382,156.20413208,3.0580451953345413,161.41234882076924,163.92445374,5.551401341048784
141610486,Gaia DR2 4647729731869782144,13,2.6908,5022.71,-0.0172786,9.2119,164.34385045333335,163.83589935,4.6944020028844955,147.8870824175,146.91880798,3.8128320343979265,152.0512097666667,152.05113219999998,3.7723282733165457
32072326,Gaia DR2 4666666758073050496,14,2.43279,4936.02,-0.654832,9.45952,182.9286460883333,183.14759827,3.143200104727582,163.57666142916668,162.95050812,2.8043373725727627,176.79347101666667,177.67375183000001,3.6876964840120126
